to,from,weight,status
D08726376,D09070449,13,DictamenNeg
D08726376,D31159670,1,ordendeldia
D08726376,D02655217,1,comision
D08726376,D07537643,5,publicado
D08726376,D22258392,10,DictamenNeg
D08726376,D06422354,1,publicado
D08726376,D23853839,1,comision
D08726376,D06023956,17,ordendeldia
D08726376,D10866456,6,comision
D08726376,D02409206,18,publicado
D08726376,D29536475,5,ordendeldia
D08726376,D18071254,3,ordendeldia
D08726376,D08330968,2,comision
D08726376,D04016037,3,ordendeldia
D08726376,D31607971,2,ordendeldia
D08726376,D26612527,10,Archivo
D08726376,D06589408,1,comision
D08726376,D21529721,1,comision
D08726376,D17828254,4,ordendeldia
D08726376,D32800254,4,comision
D08726376,D02623279,14,Archivo
D08726376,D23829601,3,ordendeldia
D08726376,D08104166,14,DictamenNeg
D08726376,D25839648,7,Archivo
D08726376,D07044060,1,ordendeldia
D08726376,D09352764,14,DictamenNeg
D08726376,D09584521,2,comision
D08726376,D21144434,1,ordendeldia
D08726376,D08273017,4,ordendeldia
D08726376,D19237225,18,Archivo
D08726376,D00214401,13,DictamenNeg
D08726376,D17927809,7,Archivo
D08726376,D23922235,3,ordendeldia
D08726376,D18151792,8,Archivo
D08726376,D03568333,5,comision
D08726376,D00026752,9,comision
D08726376,D19924629,7,comision
D08726376,D08222102,1,ordendeldia
D08726376,D29303901,6,publicado
D08726376,D07778753,4,publicado
D08726376,D10611868,2,publicado
D08726376,D02772516,17,Observado
D08726376,D22405432,4,ordendeldia
D08726376,D16546407,8,comision
D08726376,D00409629,1,publicado
D08726376,D17806694,2,publicado
D08726376,D29680315,14,publicado
D08726376,D29309719,1,ordendeldia
D08726376,D22509175,1,ordendeldia
D08726376,D16659492,11,ordendeldia
D08726376,D08807043,1,Archivo
D02406012,D10866456,1,publicado
D02406012,D02794608,19,publicado
D02406012,D29536475,1,publicado
D02406012,D31607971,5,publicado
D02406012,D07547268,30,publicado
D02406012,D08104166,1,publicado
D02406012,D02622370,1,publicado
D02406012,D09584521,4,publicado
D02406012,D28206906,4,publicado
D02406012,D09918528,11,publicado
D02406012,D19237225,1,publicado
D02406012,D09352764,1,publicado
D02406012,D28300020,8,publicado
D02406012,D01211014,2,comision
D02406012,D03568333,1,publicado
D02406012,D09532512,1,comision
D02406012,D04010919,1,publicado
D02406012,D09541219,29,publicado
D02406012,D07777001,1,comision
D02406012,D23857009,4,publicado
D02406012,D02655217,4,publicado
D02406012,D22258392,1,publicado
D02406012,D08187895,1,comision
D02406012,D08330968,21,publicado
D02406012,D19877916,3,publicado
D02406012,D06589408,2,publicado
D02406012,D21529721,6,publicado
D02406012,D02623279,1,comision
D02406012,D08273017,2,publicado
D02406012,D07044060,3,publicado
D02406012,D04813765,1,comision
D02406012,D10002147,1,publicado
D02406012,D23921812,28,publicado
D02406012,D29652212,8,publicado
D02406012,D21144434,1,publicado
D02406012,D08227657,11,publicado
D02406012,D10611868,2,publicado
D02406012,D22405432,1,publicado
D02406012,D17806694,1,comision
