NCES School ID,State School ID,NCES District ID,State District ID,Low Grade,High Grade,School Name,District,County,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Title I School,Title 1 School Wide,Student Teacher Ratio,Free Lunch,Reduced Lunch
5.3E+11,WA-17216-3430,5300001,WA-17216,KG,5,Black Diamond Elementary,Enumclaw School District,King,P.O. Box 285,Black Diamond,WA,98010,,(360)802-7570,21,Suburb: Large,No,Yes,Yes,18,76,27
5.3E+11,WA-17216-2980,5300001,WA-17216,KG,5,Byron Kibler Elementary School,Enumclaw School District,King,2057 Kibler Ave,Enumclaw,WA,98022,2798,(360)802-7263,21,Suburb: Large,No,Yes,Yes,17.9,156,19
5.3E+11,WA-17216-3330,5300001,WA-17216,9,12,Enumclaw Sr High School,Enumclaw School District,King,226 Semanski St South,Enumclaw,WA,98022,2099,(360)802-7669,21,Suburb: Large,No,No,,21.4,283,98
5.3E+11,WA-17216-3739,5300001,WA-17216,PK,5,Southwood Elementary School,Enumclaw School District,King,3240 McDougall Avenue,Enumclaw,WA,98022,9498,(360)802-7370,41,Rural: Fringe,No,Yes,Yes,16.6,74,24
5.3E+11,WA-17216-3585,5300001,WA-17216,PK,5,Westwood Elementary School,Enumclaw School District,King,21200 SE 416th,Enumclaw,WA,98022,9099,(360)802-7620,41,Rural: Fringe,No,Yes,Yes,17,73,18
5.3E+11,WA-17216-4289,5300001,WA-17216,KG,5,Sunrise Elementary,Enumclaw School District,King,899 Osceola At 244th Ave SE,Enumclaw,WA,98022,4045,(360)802-7425,41,Rural: Fringe,No,Yes,Yes,18.3,121,27
5.3E+11,WA-17216-4210,5300001,WA-17216,6,8,Enumclaw Middle School,Enumclaw School District,King,550 Semanski Street,Enumclaw,WA,98022,2067,(360)802-7150,21,Suburb: Large,No,Yes,Yes,19.1,126,33
5.3E+11,WA-17216-4550,5300001,WA-17216,6,8,Thunder Mountain Middle School,Enumclaw School District,King,42018 264th Avenue SE,Enumclaw,WA,98022,,(360)802-7492,21,Suburb: Large,No,Yes,Yes,21.6,112,31
5.3E+11,WA-17216-1523,5300001,WA-17216,PK,12,Special Ed School,Enumclaw School District,King,2929 McDougall Avenue,Enumclaw,WA,98022,,(360)802-7104,21,Suburb: Large,No,Yes,Yes,27,15,0
5.3E+11,WA-17216-5491,5300001,WA-17216,PK,PK,JJ Smith Elementary,Enumclaw School District,,1640 Fell Street,Enumclaw,WA,98022,,(360)802-7860,,,No,,,,,
