Country,environment,environmentCat
Finland,90.68,1
Iceland,90.51,1
Sweden,90.43,1
Denmark,89.21,1
Slovenia,88.98,1
Spain,88.91,1
Portugal,88.63,1
Estonia,88.59,1
Malta,88.48,1
France,88.2,1
New Zealand,88,1
United Kingdom,87.38,1
Australia,87.22,1
Singapore,87.04,1
Croatia,86.98,1
Switzerland,86.93,1
Norway,86.9,1
Austria,86.64,1
Ireland,86.6,1
Luxembourg,86.58,1
Greece,85.81,1
Latvia,85.71,1
Lithuania,85.49,1
Slovakia,85.42,1
Canada,85.06,1
United States of America,84.72,1
Czech Republic,84.67,1
Hungary,84.6,1
Italy,84.48,1
Germany,84.26,1
Azerbaijan,83.78,1
Russia,83.52,1
Bulgaria,83.4,1
Romania,83.24,1
Belarus,82.3,1
Netherlands,82.03,1
Armenia,81.6,1
Poland,81.26,1
Japan,80.59,1
Cyprus,80.24,1
Belgium,80.15,1
Costa Rica,80.03,1
Argentina,79.84,1
Ukraine,79.69,1
Cuba,79.04,1
Brazil,78.9,1
Montenegro,78.89,1
Serbia,78.67,1
Israel,78.14,1
Macedonia,78.02,1
Panama,78,1
Chile,77.67,1
Tunisia,77.28,1
Jamaica,77.02,1
Moldova,76.69,1
Venezuela,76.23,1
Colombia,75.93,1
Dominican Republic,75.32,1
Fiji,75.29,1
Taiwan,74.88,1
Albania,74.38,1
Trinidad and Tobago,74.34,1
Malaysia,74.23,1
Morocco,74.18,1
Uruguay,73.98,1
Philippines,73.7,1
Mexico,73.59,1
Belize,73.55,1
Kazakhstan,73.29,1
Dominica,73.25,1
Kyrgyz Republic,73.13,1
Tajikistan,73.05,1
Peru,72.95,1
Jordan,72.24,1
Guyana,71.14,1
Bolivia,71.09,1
Mauritius,70.85,1
Namibia,70.84,1
Botswana,70.72,1
South Korea,70.61,1
South Africa,70.52,1
Paraguay,70.36,1
Algeria,70.28,1
Turkmenistan,70.24,1
Samoa,70.2,1
Bahrain,70.07,1
Qatar,69.94,0
Honduras,69.64,0
Guatemala,69.64,0
Equatorial Guinea,69.59,0
Thailand,69.54,0
United Arab Emirates,69.35,0
The Bahamas,69.34,0
Lebanon,69.14,0
Saudi Arabia,68.63,0
Suriname,68.58,0
El Salvador,68.07,0
Brunei Darussalam,67.86,0
Turkey,67.68,0
Gabon,67.37,0
Syria,66.91,0
Tonga,66.86,0
Ecuador,66.58,0
Egypt,66.45,0
Iran,66.32,0
Zambia,66.06,0
Indonesia,65.85,0
Sri Lanka,65.55,0
China,65.1,0
Bhutan,64.99,0
Georgia,64.96,0
Seychelles,64.92,0
Kuwait,64.41,0
Mongolia,64.39,0
Nicaragua,64.19,0
Iraq,63.97,0
Senegal,63.73,0
Uzbekistan,63.67,0
Libya,63.29,0
Bosnia and Herzegovina,63.28,0
Grenada,63.28,0
Antigua and Barbuda,62.55,0
Kenya,62.49,0
Swaziland,60.63,0
Kiribati,60.48,0
Oman,60.13,0
Cote d'Ivoire,59.89,0
Congo,59.56,0
Zimbabwe,59.25,0
Ghana,58.89,0
Viet Nam,58.5,0
Tanzania,58.34,0
Nigeria,58.27,0
Vanuatu,57.74,0
Uganda,57.56,0
Cameroon,57.13,0
Maldives,57.1,0
Timor-Leste,55.79,0
Guinea,55.4,0
Barbados,54.96,0
India,53.58,0
The Gambia,52.09,0
Cape Verde,51.98,0
Pakistan,51.42,0
Angola,51.32,0
Cambodia,51.24,0
Rwanda,50.34,0
Laos,50.29,0
Nepal,50.21,0
Yemen,49.79,0
Malawi,49.69,0
Comoros,49.2,0
Myanmar,48.98,0
Sao Tome and Principe,48.28,0
Guinea-Bissau,48.2,0
Papua New Guinea,48.02,0
Lesotho,47.17,0
Solomon Islands,46.92,0
Central African Republic,46.46,0
Mauritania,46.31,0
Togo,46.1,0
Sierra Leone,45.98,0
Ethiopia,45.83,0
Djibouti,45.29,0
Burkina Faso,43.71,0
Benin,43.66,0
Liberia,43.42,0
Burundi,43.37,0
Haiti,43.28,0
Sudan,42.25,0
Dem. Rep. Congo,42.05,0
Mozambique,41.82,0
Bangladesh,41.77,0
Mali,41.48,0
Chad,37.83,0
Afghanistan,37.5,0
Niger,37.48,0
Madagascar,37.1,0
Eritrea,36.73,0
Somalia,27.66,0
