ISO,Country,scorepress,presscat
FIN,Finland,8.59,High
NLD,Netherlands,8.76,High
NOR,Norway,8.79,High
DNK,Denmark,8.89,High
NZL,New Zealand,10.01,High
CRI,Costa Rica,11.1,High
CHE,Switzerland,11.76,High
SWE,Sweden,12.33,High
IRL,Ireland,12.4,High
JAM,Jamaica,12.45,High
AUT,Austria,13.18,High
SVK,Slovakia,13.26,High
BEL,Belgium,14.18,High
EST,Estonia,14.31,High
LUX,Luxembourg,14.43,High
DEU,Germany,14.8,High
NAM,Namibia,15.15,High
CAN,Canada,15.26,High
ISL,Iceland,15.3,High
URY,Uruguay,15.88,High
CZE,Czech Republic,16.66,High
SUR,Suriname,16.7,High
PRT,Portugal,17.27,High
LVA,Latvia,17.38,High
AUS,Australia,17.84,High
GHA,Ghana,17.95,High
CYP,Cyprus,18.26,High
LIE,Liechtenstein,18.36,High
WSM,Samoa,18.8,High
XCD,OECS,18.91,High
CHL,Chile,19.23,High
CPV,Cape Verde,19.82,High
AND,Andorra,19.87,High
ESP,Spain,19.92,High
LTU,Lithuania,19.95,High
BLZ,Belize,20.61,High
TON,Tonga,21.24,High
GBR,United Kingdom,21.7,High
ZAF,South Africa,21.92,High
SVN,Slovenia,22.26,High
USA,United States,22.49,High
BFA,Burkina Faso,22.66,High
BWA,Botswana,22.91,High
TTO,Trinidad and Tobago,23.29,High
FRA,France,23.83,High
MLT,Malta,23.84,Medium
POL,Poland,23.89,Medium
MRT,Mauritania,24.03,Medium
ROU,Romania,24.29,Medium
COM,Comoros,24.33,Medium
TWN,Taiwan,24.37,Medium
NER,Niger,24.62,Medium
HTI,Haiti,24.66,Medium
ARG,Argentina,25.09,Medium
PNG,Papua New Guinea,25.81,Medium
MDG,Madagascar,27.04,Medium
GUY,Guyana,27.07,Medium
SLV,El Salvador,27.2,Medium
SRB,Serbia,27.6,Medium
MNG,Mongolia,27.61,Medium
MUS,Mauritius,27.69,Medium
DOM,Dominican Republic,27.9,Medium
HRV,Croatia,27.91,Medium
GEO,Georgia,27.96,Medium
SEN,Senegal,27.99,Medium
MWI,Malawi,28.12,Medium
HUN,Hungary,28.17,Medium
BIH,Bosnia and Herzegovina,28.45,Medium
HKG,Hong Kong,28.5,Medium
KOR,South Korea,28.58,Medium
TZA,Tanzania,28.65,Medium
JPN,Japan,28.67,Medium
LSO,Lesotho,28.78,Medium
ARM,Armenia,28.79,Medium
NIC,Nicaragua,28.82,Medium
MDA,Moldova,28.83,Medium
ITA,Italy,28.93,Medium
BEN,Benin,28.97,Medium
GNB,Guinea-Bissau,29.03,Medium
FJI,Fiji,29.37,Medium
CTU,Cyprus North,29.54,Medium
ALB,Albania,29.92,Medium
SLE,Sierra Leone,29.94,Medium
PER,Peru,29.99,Medium
KGZ,Kyrgyzstan,30.16,Medium
CIV,Ivory Coast,30.17,Medium
MOZ,Mozambique,30.25,Medium
TGO,Togo,30.31,Medium
GRC,Greece,30.35,Medium
XKO,Kosovo,30.5,Medium
PAN,Panama,30.59,Medium
SYC,Seychelles,30.6,Medium
LBR,Liberia,30.71,Medium
BTN,Bhutan,30.73,Medium
KEN,Kenya,31.16,Medium
TUN,Tunisia,31.6,Medium
BOL,Bolivia,31.78,Medium
LBN,Lebanon,31.95,Medium
TLS,East Timor,32.02,Medium
GAB,Gabon,32.2,Medium
ISR,Israel,32.58,Medium
UGA,Uganda,32.58,Medium
KWT,Kuwait,32.59,Medium
NPL,Nepal,32.62,Medium
BRA,Brazil,32.62,Medium
MNE,Montenegro,32.79,Medium
UKR,Ukraine,32.93,Medium
GIN,Guinea,33.08,Medium
ECU,Ecuador,33.21,Medium
CAF,Central African Republic,33.6,Medium
PRY,Paraguay,33.63,Medium
MDV,Maldives,34.17,Medium
BGR,Bulgaria,34.46,Medium
ZMB,Zambia,35.08,Medium
COG,Congo,35.84,Medium
NGA,Nigeria,35.9,Medium
QAT,Qatar,35.97,Medium
MKD,Macedonia,36.09,Medium
ARE,United Arab Emirates,36.73,Medium
AFG,Afghanistan,37.75,Medium
GTM,Guatemala,38.03,Medium
MLI,Mali,39.83,Medium
AGO,Angola,39.89,Medium
ZWE,Zimbabwe,40.41,Medium
OMN,Oman,40.43,Medium
CMR,Cameroon,40.53,Medium
TCD,Chad,40.59,Medium
KHM,Cambodia,40.7,Medium
DZA,Algeria,41.69,Medium
IDN,Indonesia,41.72,Medium
MAR,Morocco,42.64,Medium
PSE,Palestine,42.93,Medium
IND,India,43.17,Medium
COL,Colombia,44.11,Medium
JOR,Jordan,44.49,Medium
THA,Thailand,44.53,Low
HND,Honduras,44.62,Low
PHL,Philippines,44.66,Low
VEN,Venezuela,44.77,Low
SSD,South Sudan,44.87,Low
LKA,Sri Lanka,44.96,Low
ETH,Ethiopia,45.13,Low
MMR,Myanmar,45.48,Low
BGD,Bangladesh,45.94,Low
GMB,Gambia,46.53,Low
MYS,Malaysia,46.57,Low
PAK,Pakistan,48.52,Low
RUS,Russian Federation,49.03,Low
MEX,Mexico,49.33,Low
TJK,Tajikistan,50.34,Low
TUR,Turkey,50.76,Low
COD,The Democratic Republic Of The Congo,50.97,Low
SWZ,Swaziland,52.37,Low
SGP,Singapore,52.96,Low
BRN,Brunei Darussalam,53.85,Low
BDI,Burundi,54.1,Low
BLR,Belarus,54.32,Low
IRQ,Iraq,54.35,Low
EGY,Egypt,54.45,Low
KAZ,Kazakhstan,54.55,Low
RWA,Rwanda,54.61,Low
BHR,Bahrain,54.86,Low
AZE,Azerbaijan,57.89,Low
LBY,Libya,57.89,Low
SAU,Saudi Arabia,59.72,Low
UZB,Uzbekistan,61.15,Low
SOM,Somalia,65.35,Low
GNQ,Equatorial Guinea,66.47,Low
IRN,Islamic Republic of Iran,66.52,Low
YEM,Yemen,67.07,Low
CUB,Cuba,70.23,Low
DJI,Djibouti,70.9,Low
LAO,Lao People's Democratic Republic,71.58,Low
SDN,Sudan,72.53,Low
VNM,Vietnam,74.27,Low
CHN,China,80.96,Low
SYR,Syrian Arab Republic,81.35,Low
TKM,Turkmenistan,83.44,Low
PRK,Democratic People's Republic of Korea,83.76,Low
ERI,Eritrea,83.92,Low
