# war among countries
# from https://en.wikipedia.org/wiki/List_of_border_conflicts
Turkey,Syria
Bangladesh,India
Eritrea,Ethiopia,Djibouti
Sudan,South Sudan
Lebanon,Israel
Mongolia,Manchukuo,Japan,Soviet Union
Ethiopia,Somalia
Slovakia,Hungary
Peru,Bolivia,Ecuador,Chile
Laos,Thailand
Bolivia,Paraguay,Chile
Burkina Faso,Mali
Manchukuo,Japan,Soviet Union
Iran,Iraq
Japan,Soviet Union
China,Vietnam,India,Soviet Union
Thailand,Cambodia
Mauritania,Senegal
North Korea,South Korea
Pakistan,India
Angola,South Africa
Mexico,United States
